PlayerId,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
,,,,,,,,,,,,,,,,
MTrou00,549,123,173,32,5,29,100,30,7,116,137,0.315,0.441,0.55,0.991,10.55
MBett00,672,122,214,42,5,31,113,26,4,49,80,0.318,0.363,0.534,0.897,9.55
KBrya00,603,121,176,35,3,39,102,8,5,75,154,0.292,0.385,0.554,0.939,7.67
JAltu00,640,108,216,42,5,24,96,30,10,60,70,0.338,0.396,0.531,0.928,7.65
JDona00,577,122,164,32,5,37,99,7,1,109,119,0.284,0.404,0.549,0.953,7.44
RCano00,655,107,195,33,2,39,103,0,1,47,100,0.298,0.35,0.533,0.882,7.31
KSeag00,597,89,166,36,3,30,99,3,1,69,108,0.278,0.359,0.499,0.859,6.87
MMach00,640,105,188,40,1,37,96,0,3,48,120,0.294,0.343,0.533,0.876,6.66
BDozi00,615,104,165,35,5,42,99,18,2,61,138,0.268,0.34,0.546,0.886,6.53
NAren00,618,116,182,35,6,41,133,2,3,68,103,0.294,0.362,0.57,0.932,6.5
FFree00,589,102,178,43,6,34,91,6,1,89,171,0.302,0.4,0.569,0.968,6.46
ABelt00,583,89,175,31,1,32,104,1,1,48,66,0.3,0.358,0.521,0.879,6.45
AEato00,619,91,176,29,9,14,59,14,5,63,115,0.284,0.362,0.428,0.79,6.23
IKins00,618,117,178,29,4,28,83,14,6,45,115,0.288,0.348,0.484,0.831,6.13
CSeag00,627,105,193,40,5,26,72,3,3,54,133,0.308,0.365,0.512,0.877,6.12
CCorr00,577,76,158,36,3,20,96,13,3,75,139,0.274,0.361,0.451,0.811,5.95
ARizz00,583,94,170,43,4,32,109,3,5,74,108,0.292,0.385,0.544,0.928,5.74
FLind00,604,99,182,30,3,15,78,19,5,57,88,0.301,0.358,0.435,0.794,5.72
JSegu00,637,102,203,41,7,20,64,33,10,39,101,0.319,0.368,0.499,0.867,5.65
DPedr00,633,105,201,36,1,15,74,7,4,61,73,0.318,0.376,0.449,0.825,5.63
JBrad00,558,94,149,30,7,26,87,9,2,63,143,0.267,0.349,0.486,0.835,5.33
CYeli00,578,78,172,38,3,21,98,9,4,72,138,0.298,0.376,0.483,0.859,5.27
DLeMa00,552,104,192,32,8,11,66,11,7,66,80,0.348,0.416,0.495,0.911,5.19
DOrti00,537,79,169,48,1,38,127,2,0,80,86,0.315,0.401,0.62,1.021,5.08
GSpri00,644,116,168,29,5,29,82,9,10,88,178,0.261,0.359,0.457,0.815,5.01
JTurn00,556,79,153,34,3,27,90,4,1,48,107,0.275,0.339,0.493,0.832,4.95
SMart00,489,71,152,34,5,9,46,47,12,23,104,0.311,0.362,0.456,0.818,4.92
MCabr00,595,92,188,31,1,38,108,0,0,75,116,0.316,0.393,0.563,0.956,4.9
PGold00,579,106,172,33,3,24,95,32,5,110,150,0.297,0.411,0.489,0.899,4.84
BPose00,539,82,155,33,2,14,80,6,1,64,68,0.288,0.362,0.434,0.796,4.67
NCruz00,589,96,169,27,1,43,105,2,0,62,159,0.287,0.36,0.555,0.915,4.66
